intel-microcode	3.20260210.1ubuntu2
iproute2	6.19.0-1ubuntu1.1
iptables	1.8.11-2ubuntu3
iputils-ping	3:20250605-1ubuntu1
iputils-tracepath	3:20250605-1ubuntu1
iso-codes	4.20.1-1
iucode-tool	2.3.1-3build2
jq	1.8.1-4ubuntu2
kbd	2.7.1-2ubuntu2
kdump-tools	1:1.10.7ubuntu3
kexec-tools	1:2.0.32-3ubuntu1
keyboard-configuration	1.237ubuntu3.1
klibc-utils	2.0.14-1ubuntu2
kmod	34.2-2ubuntu2
kpartx	0.14.3-2ubuntu1
krb5-locales	1.22.1-2ubuntu4.1
landscape-common	26.02.2-0ubuntu1
less	668-1build1
libaa1:amd64	1.4p5-51.1build1
libabsl20260107:amd64	20260107.0-4
libacl1:amd64	2.3.2-2
libada-url0-3:amd64	3.4.3-1
libaio1t64:amd64	0.3.113-8build1
libaom3:amd64	3.13.1-2
libapparmor1:amd64	5.0.2-0ubuntu1~26.04.1
libappstream5:amd64	1.1.2-1
libapt-pkg7.0:amd64	3.2.0
libarchive13t64:amd64	3.8.5-1ubuntu2.2
libasound2-data	1.2.15.3-1ubuntu1.1
libasound2t64:amd64	1.2.15.3-1ubuntu1.1
libass9:amd64	1:0.17.4-2
libassuan9:amd64	3.0.2-2build1
libasyncns0:amd64	0.8-7
libatasmart4:amd64	0.19-6
libatk-bridge2.0-0t64:amd64	2.60.4-0ubuntu0.1
libatk1.0-0t64:amd64	2.60.4-0ubuntu0.1
libatomic1:amd64	16-20260322-1ubuntu1
libatspi2.0-0t64:amd64	2.60.4-0ubuntu0.1
libattr1:amd64	1:2.5.2-4ubuntu0.1
libaudit-common	1:4.1.2-1build1
libaudit1:amd64	1:4.1.2-1build1
libavahi-client3:amd64	0.8-18ubuntu1.1
libavahi-common-data:amd64	0.8-18ubuntu1.1
libavahi-common3:amd64	0.8-18ubuntu1.1
libavc1394-0:amd64	0.5.4-5build4
libavtp0:amd64	0.2.0-2build1
libbinutils:amd64	2.46-3ubuntu2
libblkid1:amd64	2.41.3-3ubuntu2.2
libblockdev-crypto3:amd64	3.4.0-1
libblockdev-fs3:amd64	3.4.0-1
libblockdev-loop3:amd64	3.4.0-1
libblockdev-mdraid3:amd64	3.4.0-1
libblockdev-nvme3:amd64	3.4.0-1
libblockdev-part3:amd64	3.4.0-1
libblockdev-smart3:amd64	3.4.0-1
libblockdev-swap3:amd64	3.4.0-1
libblockdev-utils3:amd64	3.4.0-1
libblockdev3:amd64	3.4.0-1
libbluetooth3:amd64	5.85-4ubuntu0.1
libbpf1:amd64	1:1.6.3-1ubuntu1
libbpfcc:amd64	0.35.0+ds-1ubuntu2
libbrotli1:amd64	1.2.0-3build1
libbs2b0:amd64	3.1.0+dfsg-8build1
libbsd0:amd64	0.12.2-2build2
libbytesize-common	2.12-1
libbytesize1:amd64	2.12-1
libbz2-1.0:amd64	1.0.8-6ubuntu0.1
libc-bin	2.43-2ubuntu2.3
libc-dev-bin	2.43-2ubuntu2.3
libc-gconv-modules-extra:amd64	2.43-2ubuntu2.3
libc6:amd64	2.43-2ubuntu2.3
libc6-dev:amd64	2.43-2ubuntu2.3
libcaca0:amd64	0.99.beta20-6ubuntu2.1
libcairo-gobject2:amd64	1.18.4-3
libcairo2:amd64	1.18.4-3
libcap-ng0:amd64	0.8.5-4build5
libcap2:amd64	1:2.75-10ubuntu2
libcap2-bin	1:2.75-10ubuntu2
libcares2:amd64	1.34.6-1
libcbor0.10:amd64	0.10.2-2ubuntu3
libcdparanoia0:amd64	3.10.2+debian-14ubuntu2
libchromaprint1:amd64	1.6.0-2build1
libclang-cpp21	1:21.1.8-6ubuntu1
libclang1-21	1:21.1.8-6ubuntu1
libcolord2:amd64	1.4.8-3
libcom-err2:amd64	1.47.2-3ubuntu4
libcpuinfo0:amd64	0.0~git20250905.877328f-1
libcrypt1:amd64	1:4.5.1-1
libcryptsetup12:amd64	2:2.8.4-1ubuntu4
libctf-nobfd0:amd64	2.46-3ubuntu2
libctf0:amd64	2.46-3ubuntu2
libcups2t64:amd64	2.4.16-1ubuntu1.3
libcurl3t64-gnutls:amd64	8.18.0-1ubuntu2.4
libcurl4t64:amd64	8.18.0-1ubuntu2.4
libdatrie1:amd64	0.2.14-1
libdb5.3t64:amd64	5.3.28+dfsg2-10ubuntu1
libdbus-1-3:amd64	1.16.2-2ubuntu4
libdc1394-25:amd64	2.2.6-6
libdca0:amd64	0.0.7-2build2
libdconf1:amd64	0.49.0-4
libde265-0:amd64	1.0.16-1build1
libdebconfclient0:amd64	0.280ubuntu1
libdebuginfod-common	0.194-4
libdebuginfod1t64:amd64	0.194-4
libdecor-0-0:amd64	0.2.5-1
libdeflate0:amd64	1.23-2ubuntu1
libdevmapper-event1.02.1:amd64	2:1.02.205-2ubuntu3
libdevmapper1.02.1:amd64	2:1.02.205-2ubuntu3
libdnnl3.6:amd64	3.9.1+ds-2
libdrm-amdgpu1:amd64	2.4.131-1
libdrm-common	2.4.131-1
libdrm-intel1:amd64	2.4.131-1
libdrm-tests	2.4.131-1
libdrm2:amd64	2.4.131-1
libduktape207:amd64	2.7.0+tests-0ubuntu4
libdv4t64:amd64	1.0.0-17.1build2
libdvdnav4:amd64	7.0.0-2
libdvdread8t64:amd64	7.0.1-1
libdw1t64:amd64	0.194-4
libeatmydata1:amd64	131-2build1
libedit2:amd64	3.1-20251016-1
libefiboot1t64:amd64	39-2
libefivar1t64:amd64	39-2
libegl-mesa0:amd64	26.0.8-1ubuntu0.3
libegl1:amd64	1.7.0-3
libelf1t64:amd64	0.194-4
libepoxy0:amd64	1.5.10-2build1
liberror-perl	0.17030-1
libestr0:amd64	0.1.11-2build1
libevdev2:amd64	1.13.6+dfsg-1
libevent-core-2.1-7t64:amd64	2.1.12-stable-10ubuntu0.1
libexpat1:amd64	2.7.4-1
libext2fs2t64:amd64	1.47.2-3ubuntu4
libfaad2:amd64	2.11.2-1build1
libfarmhash0:amd64	0~git20190513.0d859a8-4
libfastjson4:amd64	1.2304.0-2build1
libfdisk1:amd64	2.41.3-3ubuntu2.2
libfdt1:amd64	1.7.2-2ubuntu1
libffi8:amd64	3.5.2-4
libfftw3-single3:amd64	3.3.10-2fakesync1build3
libfido2-1:amd64	1.16.0-2build1
libflac14:amd64	1.5.0+ds-5
libflashrom1:amd64	1.6.0-2ubuntu1.1
libflite1:amd64	2.2-7build1
libfluidsynth3:amd64	2.4.8+dfsg-1
libfontconfig1:amd64	2.17.1-3ubuntu1
libfreeaptx0:amd64	0.2.2-1build1
libfreetype6:amd64	2.14.2+dfsg-1ubuntu0.1
libfribidi0:amd64	1.0.16-5
libftdi1-2:amd64	1.6~rc1-1build1
libfuse3-4:amd64	3.18.2-1
libfwupd3:amd64	2.1.1-1ubuntu3.1
libfyaml0:amd64	0.9.4-1
libgbm1:amd64	26.0.8-1ubuntu0.3
libgcc-s1:amd64	16-20260322-1ubuntu1
libgcrypt20:amd64	1.12.0-2ubuntu1.1
libgdbm-compat4t64:amd64	1.26-1build1
libgdbm6t64:amd64	1.26-1build1
libgdk-pixbuf-2.0-0:amd64	2.44.5+dfsg-4ubuntu1
libgdk-pixbuf2.0-common	2.44.5+dfsg-4ubuntu1
libgirepository-2.0-0:amd64	2.88.0-1
libgl1:amd64	1.7.0-3
libgl1-mesa-dri:amd64	26.0.8-1ubuntu0.3
libglib2.0-0t64:amd64	2.88.0-1
libglib2.0-bin	2.88.0-1
libglib2.0-data	2.88.0-1
libglvnd0:amd64	1.7.0-3
libglx-mesa0:amd64	26.0.8-1ubuntu0.3
libglx0:amd64	1.7.0-3
libglycin-2-0:amd64	2.1.1+ds-0ubuntu1
libgme0:amd64	0.6.4-1
libgmp10:amd64	2:6.3.0+dfsg-5ubuntu2
libgnutls30t64:amd64	3.8.12-2ubuntu1.1
libgomp1:amd64	16-20260322-1ubuntu1
libgpg-error-l10n	1.58-2
libgpg-error0:amd64	1.58-2
libgpgme45:amd64	2.0.1-2build1
libgpiod3:amd64	2.2.1-3build1
libgpm2:amd64	1.20.7-12build1
libgprofng0:amd64	2.46-3ubuntu2
libgraphite2-3:amd64	1.3.14-11ubuntu1.1
libgsm1:amd64	1.0.23-2
libgssapi-krb5-2:amd64	1.22.1-2ubuntu4.1
