libpam-modules	1.7.0-5ubuntu3.1	arm64
libpam-modules-bin	1.7.0-5ubuntu3.1	arm64
libpam-runtime	1.7.0-5ubuntu3.1	all
libpam0g	1.7.0-5ubuntu3.1	arm64
libpcre2-8-0	10.46-1build1	arm64
libpng16-16t64	1.6.57-1	arm64
libpopt0	1.19+dfsg-2build1	arm64
libproc2-0	2:4.0.4-9ubuntu1	arm64
libpsl5t64	0.21.2-1.1build2	arm64
libpython3-stdlib	3.14.3-0ubuntu2	arm64
libpython3.14-minimal	3.14.4-1ubuntu0.1	arm64
libpython3.14-stdlib	3.14.4-1ubuntu0.1	arm64
libraqm0	0.10.4-1	arm64
libreadline8t64	8.3-4	arm64
librtmp1	2.4+20151223.gitfa8646d.1-3	arm64
libsasl2-2	2.1.28+dfsg1-9ubuntu3	arm64
libsasl2-modules-db	2.1.28+dfsg1-9ubuntu3	arm64
libseccomp2	2.6.0-2ubuntu5	arm64
libselinux1	3.9-4build1	arm64
libsemanage-common	3.9-1build1	all
libsemanage2	3.9-1build1	arm64
libsepol2	3.9-2	arm64
libsharpyuv0	1.5.0-0.1build1	arm64
libsmartcols1	2.41.3-3ubuntu2.2	arm64
libsqlite3-0	3.46.1-9ubuntu0.2	arm64
libss2	1.47.2-3ubuntu4	arm64
libssh2-1t64	1.11.1-1ubuntu0.26.04.4	arm64
libssl3t64	3.5.5-1ubuntu3.5	arm64
libstdc++6	16-20260322-1ubuntu1	arm64
libsystemd-shared	259.5-0ubuntu3.4	arm64
libsystemd0	259.5-0ubuntu3.4	arm64
libtasn1-6	4.21.0-2	arm64
libtext-charwidth-perl	0.04-11build4	arm64
libtext-wrapi18n-perl	0.06-10	all
libtiff6	4.7.0-3ubuntu5	arm64
libtinfo6	6.6+20251231-1	arm64
libtirpc-common	1.3.7-0.1	all
libtirpc3t64	1.3.7-0.1	arm64
libudev1	259.5-0ubuntu3.4	arm64
libunistring5	1.3-2build1	arm64
libusb-1.0-0	2:1.0.29-2build1	arm64
libuuid1	2.41.3-3ubuntu2.2	arm64
libv4l-0t64	1.32.0-2ubuntu1	arm64
libv4l2rds0t64	1.32.0-2ubuntu1	arm64
libv4lconvert0t64	1.32.0-2ubuntu1	arm64
libwebp7	1.5.0-0.1build1	arm64
libwebpdemux2	1.5.0-0.1build1	arm64
libwebpmux3	1.5.0-0.1build1	arm64
libwrap0	7.6.q-36build2	arm64
libxau6	1:1.0.11-1build2	arm64
libxcb1	1.17.0-2ubuntu1	arm64
libxdmcp6	1:1.1.5-2	arm64
libxkbcommon0	1.13.1-1	arm64
libxtables12	1.8.11-2ubuntu3	arm64
libxxhash0	0.8.3-2build1	arm64
libyaml-0-2	0.2.5-2build3	arm64
