gpg	2.4.8-4ubuntu3.1	amd64
gpg-agent	2.4.8-4ubuntu3.1	amd64
gpg-wks-client	2.4.8-4ubuntu3.1	amd64
gpgconf	2.4.8-4ubuntu3.1	amd64
gpgsm	2.4.8-4ubuntu3.1	amd64
gpgv	2.4.8-4ubuntu3.1	amd64
gpiod	2.2.1-3build1	amd64
grep	3.12-1	amd64
groff-base	1.23.0-10	amd64
grub-efi-amd64	2.14-2ubuntu1	amd64
grub-efi-amd64-bin	2.14-2ubuntu1	amd64
grub-efi-amd64-signed	1.215+2.14-2ubuntu1	amd64
grub-efi-amd64-unsigned	2.14-2ubuntu1	amd64
grub-pc	2.14-2ubuntu2.1	amd64
grub2-common	2.14-2ubuntu2.1	amd64
gsettings-desktop-schemas	50.0-1ubuntu2	all
gstreamer1.0-plugins-bad	1.28.2-1ubuntu1.1	amd64
gstreamer1.0-plugins-base	1.28.2-1	amd64
gstreamer1.0-plugins-extra	1.28.2-1ubuntu1.1	amd64
gstreamer1.0-plugins-good	1.28.2-2ubuntu0.1	amd64
gstreamer1.0-tools	1.28.2-1	amd64
gtk-update-icon-cache	4.22.4+ds-0ubuntu0.1	amd64
gzip	1.14-1~exp2ubuntu1.1	amd64
hdparm	9.65+ds-1.1build1	amd64
hicolor-icon-theme	0.18-2build1	all
hostname	3.25build1	amd64
htop	3.4.1-5build2	amd64
hwctl	0.11.0-0ubuntu1	amd64
hwdata	0.394-1build1	all
ibverbs-providers	61.0-2ubuntu3	amd64
ieee-data	20240722build1	all
inetutils-telnet	2:2.7-2ubuntu1.1	amd64
info	7.2-5ubuntu2	amd64
init	1.69	amd64
init-system-helpers	1.69	all
initramfs-tools-bin	0.151ubuntu1	amd64
initramfs-tools-core	0.151ubuntu1	all
install-info	7.2-5ubuntu2	amd64
intel-microcode	3.20260210.1ubuntu2	amd64
iproute2	6.19.0-1ubuntu1.1	amd64
iptables	1.8.11-2ubuntu3	amd64
iputils-ping	3:20250605-1ubuntu1	amd64
iputils-tracepath	3:20250605-1ubuntu1	amd64
iso-codes	4.20.1-1	all
iucode-tool	2.3.1-3build2	amd64
jq	1.8.1-4ubuntu2	amd64
kbd	2.7.1-2ubuntu2	amd64
kdump-tools	1:1.10.7ubuntu3	amd64
kexec-tools	1:2.0.32-3ubuntu1	amd64
keyboard-configuration	1.237ubuntu3.1	all
klibc-utils	2.0.14-1ubuntu2	amd64
kmod	34.2-2ubuntu2	amd64
kpartx	0.14.3-2ubuntu1	amd64
krb5-locales	1.22.1-2ubuntu4.1	all
landscape-common	26.02.2-0ubuntu1	amd64
less	668-1build1	amd64
libaa1	1.4p5-51.1build1	amd64
libabsl20260107	20260107.0-4	amd64
libacl1	2.3.2-2	amd64
libada-url0-3	3.4.3-1	amd64
libaio1t64	0.3.113-8build1	amd64
libaom3	3.13.1-2	amd64
libapparmor1	5.0.2-0ubuntu1~26.04.1	amd64
libappstream5	1.1.2-1	amd64
libapt-pkg7.0	3.2.0	amd64
libarchive13t64	3.8.5-1ubuntu2.2	amd64
libasound2-data	1.2.15.3-1ubuntu1.1	all
libasound2t64	1.2.15.3-1ubuntu1.1	amd64
libass9	1:0.17.4-2	amd64
libassuan9	3.0.2-2build1	amd64
libasyncns0	0.8-7	amd64
libatasmart4	0.19-6	amd64
libatk-bridge2.0-0t64	2.60.4-0ubuntu0.1	amd64
libatk1.0-0t64	2.60.4-0ubuntu0.1	amd64
libatomic1	16-20260322-1ubuntu1	amd64
libatspi2.0-0t64	2.60.4-0ubuntu0.1	amd64
libattr1	1:2.5.2-4ubuntu0.1	amd64
libaudit-common	1:4.1.2-1build1	all
libaudit1	1:4.1.2-1build1	amd64
libavahi-client3	0.8-18ubuntu1.1	amd64
libavahi-common-data	0.8-18ubuntu1.1	amd64
libavahi-common3	0.8-18ubuntu1.1	amd64
libavc1394-0	0.5.4-5build4	amd64
libavtp0	0.2.0-2build1	amd64
libbinutils	2.46-3ubuntu2	amd64
libblkid1	2.41.3-3ubuntu2.2	amd64
libblockdev-crypto3	3.4.0-1	amd64
libblockdev-fs3	3.4.0-1	amd64
libblockdev-loop3	3.4.0-1	amd64
libblockdev-mdraid3	3.4.0-1	amd64
